SPECTRUM DATA FILE
SpectrumCount:	2
PixelCount:	2500
UserName:	XCS Laser
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	Broadcom
DeviceSerialNo:	21444

Name:	last spectrum	last spectrum
Date:	2020-11-23T16:39:45.7650000-08:00	2020-11-23T16:52:36.9100000-08:00
ExposureTime:	0.1	0.1
TemporalAvg:	1	1
IntensityUnit:	normalizedCounts	normalizedCounts
CCDLoadLevel:	0.5133696	0.4760772
Temperature:	25.77332	26.1875
DiagramColor:	200	16711680
ProcessingSteps:	847	847

Wavelength [nm]	Intensity1	Intensity2
293.134	-0.1817126	-0.07187647
293.4746	0.2670221	-0.3110795
293.8152	0.3319483	-0.455651
294.1559	0.1705431	-0.6823877
294.4965	-0.02844735	0.3333856
294.8371	0.4536917	0.323602
295.1777	0.01985133	0.7442896
295.5183	-0.2541614	0.7014645
295.8589	0.2276396	0.8668221
296.1994	1.580961	0.06864469
296.54	2.051183	-0.5633143
296.8805	0.8787228	-0.5820649
297.2211	-0.4022558	-0.6079856
297.5616	-0.9765694	0.04905287
297.9021	0.3673778	0.2612921
298.2427	0.4579046	0.9945374
298.5832	0.5521494	0.6863422
298.9237	-0.4695373	-0.3113767
299.2642	0.002925295	-0.4356893
299.6046	0.04726645	-0.2573934
299.9451	0.2426102	-0.804458
300.2856	-0.3304124	-0.732616
300.626	-0.06656636	0.277337
300.9665	0.457628	0.7860724
301.3069	0.7457818	-0.1122457
301.6474	0.3571276	-0.2170199
301.9878	0.05453555	0.01179445
302.3282	0.6258572	0.6310322
302.6686	1.365355	0.5369644
303.009	0.9946669	-0.2556429
303.3494	0.5904018	-0.5641938
303.6898	0.2705428	-0.3192643
304.0302	1.014118	0.180577
304.3705	1.525062	0.5932606
304.7109	1.625632	0.6883913
305.0512	1.435983	0.08439627
305.3916	1.136943	0.02350538
305.7319	0.9397019	1.314543
306.0722	0.01152335	1.170633
306.4125	1.053033	0.2351526
306.7528	1.250311	-1.035023
307.0931	1.100775	-0.8412251
307.4334	-0.05500348	-0.3506625
307.7737	-0.7757764	0.02701338
308.114	-1.208835	0.3640028
308.4542	-0.3883493	-0.1761786
308.7945	0.5825855	-0.4261977
309.1347	0.970199	-0.4607571
309.4749	0.4716363	1.298083
309.8152	0.5423141	1.748314
310.1554	0.1150388	0.5776743
310.4956	0.5853941	0.004458562
310.8358	0.6981453	0.1773017
311.176	0.687635	0.4408111
311.5161	0.6906842	-0.4263899
311.8563	0.2731886	-0.5855428
312.1965	-0.4249084	-0.1077043
312.5367	-1.073659	0.3638072
312.8768	-1.169114	-0.3243491
313.2169	-0.4549707	-0.7392021
313.5571	0.7131338	0.7009774
313.8972	-0.1374692	1.18614
314.2373	-1.607385	0.5449674
314.5774	-1.187189	-0.1428315
314.9175	0.5788154	0.008120933
315.2576	0.7595443	0.1851349
315.5977	1.172408	0.4226398
315.9377	1.409524	1.476063
316.2778	1.155776	1.004105
316.6178	0.3767137	0.169093
316.9579	0.3870796	-0.170845
317.2979	-0.07422855	-0.01486881
317.6379	-0.3061647	-0.7119353
317.9779	-1.06061	-1.529454
318.3179	-0.4169272	-1.124956
318.6579	0.4105363	0.2883415
318.9979	0.2208871	0.513557
319.3379	-0.1142151	-0.2176736
319.6779	-0.1701389	-0.7677071
320.0178	1.571702	0.8524877
320.3578	1.82826	1.597028
320.6977	1.638318	0.7116788
321.0377	0.6371864	0.01432561
321.3776	0.1556234	0.2499009
321.7175	-0.3168569	1.062003
322.0574	-0.3085572	0.4916524
322.3973	-0.09401136	0.2798513
322.7372	0.2620295	0.3345852
323.0771	0.5987496	-0.1636926
323.417	1.117771	-0.6027133
323.7568	0.1184821	-0.7443526
324.0967	-0.2340376	-0.007753212
324.4365	-0.3368756	-0.0321595
324.7764	0.2993779	-0.004789103
325.1162	-0.1432129	0.5011892
325.456	0.1498655	0.6423399
325.7958	0.143449	0.7921282
326.1356	1.258311	0.3048044
326.4754	0.7533079	0.1867487
326.8152	1.050618	0.6986922
327.155	0.3859517	0.7967898
327.4948	0.6313792	0.8942578
327.8345	0.4980935	0.6319345
328.1743	0.4657475	0.3441409
328.514	0.3266471	-0.08622739
328.8537	0.03350318	0.606925
329.1935	1.027346	1.604312
329.5332	0.5626094	1.226173
329.8729	0.07257184	0.2087841
330.2126	-0.6979249	-0.7963891
330.5522	-0.3196773	-0.8936502
330.8919	0.05682565	-0.2513669
331.2316	0.3148931	0.2565728
331.5713	0.2040073	-0.2908944
331.9109	0.6940181	-0.9961275
332.2505	0.07114863	-1.308178
332.5902	-0.4023546	-0.9098355
332.9298	-1.091032	-0.1337362
